1,삼겹살(200g),2,19000,4,2025-01-01
2,목살(200g),4,21000,4,2025-01-01
3,항정살(200g),3,19000,1,2025-01-01
4,찌개(김치|된장),1,6000,3,2025-01-02
5,냉면(물냉면|비빔냉면),1,6000,6,2025-01-02
6,계란찜,3,4000,8,2025-01-02
7,음료(사이다|콜라),4,2000,2,2025-01-02
8,소주,5,5000,1,2025-01-02
9,맥주,1,6000,4,2025-01-04
10,공깃밥,2,1000,4,2025-01-04
11,삼겹살,3,19000,6,2025-01-05
12,항정살,2,21000,1,2025-01-05
13,목살,4,19000,8,2025-01-06
14,찌개(김치|된장),2,6000,8,2025-01-06
15,냉면(물냉면|비빔냉면),3,6000,8,2025-01-06
16,계란찜,1,4000,8,2025-01-06
17,음료(사이다|콜라),5,2000,8,2025-01-06
18,소주,2,5000,8,2025-01-06
19,맥주,3,6000,8,2025-01-06
20,공깃밥,4,1000,2,2025-01-11
21,삼겹살,1,19000,7,2025-01-12
22,항정살,3,21000,7,2025-01-13
23,목살,2,19000,1,2025-01-14
24,찌개(김치|된장),4,6000,3,2025-01-14
25,냉면(물냉면|비빔냉면),2,6000,6,2025-01-15
26,계란찜,3,4000,8,2025-01-15
27,음료(사이다|콜라),4,2000,2,2025-01-16
28,소주,5,5000,5,2025-01-17
29,맥주,1,6000,9,2025-01-18
30,공깃밥,2,1000,4,2025-01-19
31,삼겹살,3,19000,6,2025-01-20
32,항정살,2,21000,1,2025-01-21
33,목살,4,19000,8,2025-01-22
34,찌개(김치|된장),2,6000,3,2025-01-22
35,냉면(물냉면|비빔냉면),3,6000,7,2025-01-23
36,계란찜,1,4000,9,2025-01-23
37,음료(사이다|콜라),5,2000,4,2025-01-24
38,소주,2,5000,6,2025-01-25
39,맥주,3,6000,5,2025-01-26
40,공깃밥,4,1000,2,2025-01-27
41,삼겹살,1,19000,4,2025-01-28
42,항정살,3,21000,7,2025-01-29
43,목살,2,19000,1,2025-01-30
44,찌개(김치|된장),4,6000,3,2025-01-30
45,냉면(물냉면|비빔냉면),2,6000,6,2025-01-31
46,계란찜,3,4000,8,2025-01-31
47,음료(사이다|콜라),4,2000,2,2025-01-31
48,소주,5,5000,5,2025-01-31
49,맥주,1,6000,9,2025-01-31
50,공깃밥,2,1000,4,2025-01-31
